planned_duration_days,elapsed_days,progress_variance_pct,material_availability_pct,material_delay_days,labor_count,previous_delay_count,budget_variance_pct,deadline_days_remaining,task_completion_rate_pct,delay
93,40,-7,90,0,18,2,1,59,27,0
57,43,-17,76,5,23,3,10,14,65,0
365,326,1,96,0,100,3,6,89,90,0
288,226,-6,94,0,49,1,-2,65,67,0
268,191,-22,90,1,42,3,11,96,55,1
83,78,-7,97,0,18,3,1,10,90,0
109,14,2,97,0,38,1,9,107,18,0
126,105,1,91,0,25,4,14,28,86,0
95,26,6,94,0,22,1,6,85,32,0
215,73,-7,91,0,24,0,10,163,23,0
170,99,-4,87,3,31,5,12,72,54,0
238,27,6,98,0,52,0,3,180,10,0
132,92,-6,88,0,23,3,8,55,67,0
126,106,-14,96,1,24,2,16,20,69,1
64,42,-10,97,3,21,1,20,30,50,0
42,26,-2,97,0,14,2,6,28,65,0
128,76,-4,93,2,21,3,-1,71,51,0
69,40,-4,94,1,25,3,4,34,55,0
156,123,-3,93,0,41,0,1,33,79,0
261,110,-30,49,11,15,7,23,180,3,1
123,31,-14,83,2,25,1,4,105,4,0
226,76,-9,81,3,29,1,5,150,27,0
116,24,-1,96,0,18,0,-3,92,14,0
108,51,2,90,2,23,0,8,41,59,0
271,212,1,99,1,26,4,-9,80,74,0
307,110,-5,82,4,96,2,6,180,41,0
44,33,-11,82,5,12,1,13,12,66,1
85,23,-8,92,2,21,3,16,79,9,0
47,25,-11,90,1,11,5,9,39,68,1
85,50,-11,96,1,15,5,17,53,41,0
118,52,14,97,1,47,0,-10,69,55,0
122,18,0,97,2,28,0,17,120,15,0
169,78,-17,92,1,29,8,23,114,25,1
151,65,-22,63,13,27,8,26,117,35,1
80,52,2,97,1,25,0,0,23,72,0
154,129,-9,97,0,34,1,10,50,80,0
44,33,7,91,1,14,1,-2,18,64,0
134,109,-22,77,4,27,8,27,19,63,1
53,40,3,96,1,26,1,3,17,85,0
365,143,0,92,1,57,2,0,180,30,0
98,24,-20,72,6,13,0,16,74,12,1
39,20,5,95,0,20,0,7,13,69,0
127,39,-5,98,0,16,1,5,85,12,0
62,27,-11,86,0,20,1,5,41,52,0
53,41,-1,96,0,17,0,-1,16,85,0
47,32,-20,93,4,9,4,22,29,53,0
58,50,-4,98,0,21,4,11,24,80,0
110,69,-7,91,2,24,2,2,55,57,0
36,29,3,89,1,18,0,9,5,82,0
164,83,-3,71,3,36,2,-3,73,45,0
112,91,2,91,1,18,3,2,51,69,0
64,35,-20,89,2,15,2,13,23,39,1
365,127,-26,80,7,61,8,22,180,12,1
81,55,-10,92,1,21,1,8,63,64,0
89,15,2,87,1,35,4,9,74,27,1
149,47,-3,99,3,33,1,2,119,30,0
305,92,-14,99,1,55,4,15,180,21,0
227,207,20,96,0,47,2,-1,20,100,0
124,59,-24,63,6,19,4,13,114,28,1
104,77,-14,85,2,34,4,20,36,59,0
182,112,-24,96,0,22,7,9,94,27,1
68,40,-8,95,0,23,1,5,32,56,0
133,29,2,92,0,43,0,-5,115,19,0
76,47,-10,98,1,13,3,1,14,58,0
109,24,-2,94,0,30,3,6,76,27,0
121,50,-4,67,2,21,2,6,71,39,0
55,47,-7,96,3,14,1,4,17,88,0
46,30,-12,87,2,13,4,13,29,46,1
124,108,-8,83,4,16,0,8,2,83,0
79,26,-40,40,20,7,8,30,92,0,1
52,20,-2,96,0,15,1,-3,33,48,0
97,77,-25,86,6,24,8,27,30,46,1
74,49,-1,88,0,24,1,4,32,58,0
53,34,-16,94,3,9,4,13,27,52,1
352,143,-2,98,0,71,3,23,180,56,1
74,69,15,95,0,22,0,-10,1,100,0
202,121,-16,93,0,23,4,7,107,27,0
79,30,-15,91,1,13,1,10,50,19,0
90,70,-12,99,1,31,8,23,26,66,1
167,142,5,98,0,73,1,1,85,96,0
84,29,-9,87,3,19,4,8,51,16,0
271,76,-16,88,3,54,4,16,180,6,1
102,62,20,98,0,32,0,-10,48,78,0
99,90,-8,94,0,29,3,3,8,79,0
244,43,-9,96,1,42,1,4,180,3,0
128,87,-9,91,1,18,4,5,62,49,0
320,217,-10,93,4,63,3,17,180,47,0
172,70,4,97,2,32,1,-4,64,36,0
51,39,-6,95,4,18,3,12,22,77,0
68,17,-11,93,1,23,1,15,50,16,0
114,18,-12,92,0,24,2,13,97,9,1
94,28,9,94,0,31,3,5,71,38,0
99,41,7,96,0,14,1,0,58,48,0
53,21,-1,98,0,24,1,0,44,37,0
46,24,-10,98,0,8,1,7,26,54,1
129,105,7,92,1,41,3,5,25,87,0
107,49,-22,71,6,16,3,23,72,44,1
126,89,-13,92,1,12,1,1,49,57,0
136,40,4,88,0,35,2,-5,153,29,0
185,122,-5,92,1,59,2,13,17,64,0
66,21,-20,61,7,16,3,27,43,15,1
163,60,15,100,0,42,1,-8,138,51,0
167,102,-3,94,1,31,2,2,85,62,0
250,125,-17,73,2,19,5,17,125,37,1
321,181,-2,95,1,84,4,4,174,34,0
229,79,-8,97,0,44,6,17,163,24,1
119,64,5,93,1,37,1,0,60,59,0
151,28,14,97,0,27,0,-10,103,32,0
115,88,10,98,1,36,0,-3,24,91,0
93,67,13,96,0,41,1,-3,24,97,0
67,33,-9,97,3,23,4,11,34,42,1
155,48,-25,81,5,13,7,28,124,13,1
80,28,-16,92,3,27,7,26,88,16,1
129,31,-24,41,20,23,5,16,121,0,1
53,49,10,95,0,16,3,-5,7,100,0
120,90,-15,94,1,20,6,13,27,71,0
103,54,0,92,4,44,3,-3,49,56,0
85,47,-15,96,3,19,3,16,46,30,1
167,86,-1,96,0,38,3,9,50,50,0
54,7,-15,92,1,5,5,20,49,0,1
173,118,10,97,0,46,5,-1,78,90,0
146,127,-16,92,0,16,8,10,58,72,0
102,66,-17,47,8,23,5,18,52,47,1
132,70,-14,82,2,23,1,12,73,46,1
41,25,-10,96,3,15,1,8,27,48,0
76,33,6,98,0,25,0,-7,44,40,0
83,68,-12,77,0,11,6,27,13,73,1
92,55,0,97,2,32,2,-1,37,60,0
100,59,2,95,0,24,0,-3,44,70,0
138,100,-15,78,5,27,4,16,50,58,1
93,58,7,95,1,28,2,-3,39,63,0
46,5,-5,89,3,16,2,7,42,4,1
135,31,10,95,1,41,1,-2,104,29,0
215,174,-5,87,2,24,1,-1,44,73,0
49,31,-6,95,1,15,4,12,27,56,0
88,84,0,90,0,23,3,9,5,100,0
113,90,-20,91,4,17,6,22,23,43,1
94,53,2,79,2,16,1,-10,51,51,0
68,31,2,98,1,29,1,14,57,62,0
256,79,2,90,1,43,2,-1,177,41,0
133,55,-9,96,2,24,3,9,56,38,0
36,30,2,88,3,14,1,-1,12,91,0
133,62,6,96,0,25,0,-9,84,60,0
252,94,-10,86,2,41,7,22,180,19,1
66,58,2,99,0,25,3,-4,5,95,1
110,66,-8,86,4,35,8,20,75,59,1
84,17,-10,93,3,24,1,4,71,26,1
46,8,6,99,0,24,1,-10,39,30,0
47,20,-11,56,4,10,4,12,41,11,1
212,123,-18,91,1,30,5,17,125,34,0
68,40,14,96,1,40,0,-1,26,70,0
310,223,-3,96,0,47,2,10,61,70,0
84,16,-33,40,20,23,8,30,88,0,1
96,29,-3,95,1,32,2,5,63,21,0
180,120,-14,91,7,60,4,19,45,54,1
163,55,-20,83,2,22,8,24,102,20,1
269,216,-15,78,1,31,2,19,53,53,1
73,23,11,99,0,38,3,-9,57,41,0
107,61,-6,96,1,32,1,-9,60,56,0
97,29,5,95,1,28,1,-4,76,41,0
86,61,-10,90,6,21,4,13,48,77,0
134,27,-11,93,2,49,1,6,107,8,0
183,117,-12,86,2,35,1,7,76,54,0
145,84,1,96,0,50,2,6,61,56,0
69,30,-11,90,4,18,6,15,56,33,1
31,19,15,97,0,31,0,-10,21,84,0
235,168,-1,83,0,45,4,3,67,70,1
211,164,1,88,0,38,1,2,34,75,0
96,70,15,95,0,26,1,-10,12,100,0
103,37,-14,90,5,20,2,11,77,16,0
82,32,-9,77,5,22,1,3,61,24,1
159,112,2,93,3,50,3,0,54,73,0
216,100,11,89,0,88,0,-8,158,47,0
129,12,-11,94,0,25,0,6,108,1,0
197,154,1,97,0,48,1,1,81,78,0
132,92,-5,85,2,21,4,5,58,64,0
191,139,-27,98,1,21,8,30,88,33,1
61,46,12,95,1,23,0,-6,24,78,0
166,42,-11,99,3,37,3,17,124,15,1
140,76,17,99,0,50,0,-10,97,59,0
94,75,-35,89,7,19,8,30,3,45,1
138,66,-7,86,1,37,1,5,72,55,0
110,59,10,92,2,38,0,4,56,62,0
67,36,7,96,0,22,1,-9,29,60,0
83,59,-13,85,1,27,3,19,22,50,1
174,19,-10,96,2,45,1,9,141,0,0
102,29,-5,92,1,19,1,5,71,30,0
316,108,8,98,0,74,0,-1,180,43,0
193,148,-1,95,1,47,2,4,62,61,0
67,26,-5,96,1,15,3,17,45,48,0
204,55,-19,73,3,26,3,7,149,20,1
110,18,-13,96,1,21,3,12,101,17,1
158,70,-21,83,2,19,5,26,93,9,1
121,48,-2,91,4,29,1,5,100,47,0
217,95,9,93,0,59,1,-9,145,69,0
143,76,-6,91,2,25,0,11,70,49,0
88,40,-1,90,0,20,1,6,37,39,0
50,30,20,99,1,44,0,-10,20,85,0
45,23,-7,87,3,23,2,7,33,38,0
65,48,5,95,2,37,1,2,14,89,0
246,106,-9,94,1,44,1,8,94,45,1
108,83,6,97,2,43,0,-6,37,85,0
141,134,8,98,2,62,2,-1,1,100,0
208,131,-21,74,9,35,3,11,93,41,1
277,259,-7,97,1,47,4,13,58,83,0
148,112,6,92,0,22,1,-1,45,82,0
111,95,5,93,0,31,2,0,21,79,0
132,57,-10,88,2,32,3,7,75,35,1
135,104,-7,89,1,40,8,14,29,66,1
101,43,-12,98,1,12,4,6,57,29,1
73,36,2,91,0,41,5,5,39,44,0
103,39,3,95,2,29,0,-3,55,55,0
159,139,-12,90,5,38,2,8,24,76,0
119,31,3,95,0,37,1,1,102,38,0
197,132,17,99,0,37,0,-10,118,100,0
83,34,-7,84,2,15,1,13,50,33,0
116,36,-7,85,3,20,2,7,99,27,1
59,13,-16,96,4,9,3,12,63,0,1
84,38,-18,86,4,25,8,17,56,20,1
328,147,-2,99,2,31,2,15,180,41,0
90,46,-21,87,4,10,8,24,70,32,1
61,58,-22,92,5,18,8,23,14,62,1
56,5,13,99,0,26,0,-7,52,30,0
283,191,-9,91,0,65,8,19,140,60,0
174,47,3,79,1,49,4,6,137,18,0
83,21,-8,99,0,25,2,5,67,22,0
65,41,-4,95,1,24,4,5,37,72,0
57,15,-9,99,1,13,4,8,46,31,0
30,20,14,99,0,20,0,-9,11,92,0
67,37,-8,94,1,20,4,7,51,47,0
119,24,-22,96,3,24,6,25,128,0,1
135,86,-27,64,13,39,8,29,35,35,1
167,57,-5,97,1,28,3,10,136,24,0
101,26,-11,100,0,20,1,4,79,5,0
77,56,5,99,1,29,0,-1,28,73,0
73,29,0,90,1,20,2,7,48,46,1
88,41,-7,81,0,16,3,5,68,34,0
38,28,-19,80,2,8,3,16,15,58,1
145,131,-8,99,2,27,4,12,37,77,1
158,54,-11,77,3,24,4,16,96,21,1
59,49,-11,85,3,20,1,14,17,86,0
169,94,-1,90,2,29,3,1,60,47,0
84,24,11,100,0,18,2,-6,49,36,0
127,94,-6,93,0,23,7,16,61,69,0
113,77,-16,97,5,13,6,22,32,61,1
141,60,15,97,0,82,0,-10,78,58,0
109,83,0,90,1,29,2,0,36,61,0
353,286,-5,92,1,76,5,14,119,70,0
101,79,-1,92,1,32,2,4,22,78,1
193,84,-3,98,0,37,3,-4,163,39,0
82,74,-36,64,12,16,8,30,24,47,1
142,78,12,95,1,42,0,3,57,62,0
138,88,-4,96,0,22,0,3,50,57,0
46,22,-9,99,1,18,1,8,34,40,1
315,110,9,98,1,87,0,-7,161,47,0
69,61,-7,95,1,15,1,16,6,94,1
162,68,-3,96,1,26,5,15,107,37,0
57,30,-37,75,19,16,8,30,39,17,1
99,68,-5,92,1,33,5,10,64,67,0
68,56,6,96,0,13,1,5,20,94,0
164,124,20,94,0,54,0,-10,80,100,0
156,74,4,91,0,41,1,0,90,52,0
111,96,5,97,1,41,2,-4,11,100,0
192,98,-12,90,1,35,2,2,94,39,0
122,35,17,100,0,27,0,-10,87,56,0
105,32,5,93,2,33,0,11,70,35,0
85,66,-9,61,9,30,3,18,19,81,1
173,95,9,94,2,25,0,-10,110,58,0
148,30,-20,99,1,23,6,13,82,13,1
332,266,-30,57,18,79,8,30,66,40,1
168,144,15,93,2,44,0,-10,41,100,0
99,74,-7,71,7,22,2,11,36,67,0
62,15,-6,94,1,18,4,6,32,13,1
66,7,1,98,0,19,1,0,58,13,0
53,33,-40,40,20,15,8,30,26,20,1
97,56,-10,96,1,22,0,10,54,39,0
123,61,-13,96,1,19,8,30,80,44,1
41,33,4,95,1,26,0,-10,8,73,0
85,12,-17,93,0,10,3,4,75,0,1
105,84,-5,87,1,24,3,5,5,84,0
68,56,-6,98,1,22,2,-2,37,84,1
61,14,-16,99,2,14,3,13,65,8,0
52,18,6,92,1,25,4,-1,40,52,0
100,67,-36,49,20,18,8,30,44,44,1
222,124,-6,99,2,52,2,9,98,60,0
66,39,-27,74,7,14,6,26,34,26,1
127,79,-15,97,2,32,3,13,76,48,0
73,44,-5,64,1,19,4,-1,33,62,1
365,200,-18,98,1,72,4,20,180,28,1
132,63,-1,94,2,32,4,10,66,43,0
118,81,-4,98,1,24,2,11,58,66,0
200,64,-18,94,0,19,6,25,144,30,1
350,305,5,93,0,84,1,0,134,92,0
73,64,-11,91,0,15,2,19,16,83,0
164,34,-7,97,2,31,1,6,147,13,0
84,14,9,98,1,36,1,-2,82,23,0
200,160,10,97,0,35,0,-7,27,77,0
190,118,-13,95,2,35,3,22,123,52,0
110,22,0,95,0,25,1,-3,91,24,0
157,81,4,96,1,34,1,-10,103,68,0
47,20,-17,94,4,13,4,12,25,27,0
45,32,9,98,0,21,1,-10,12,80,1
124,63,-13,88,2,16,0,3,42,38,1
43,29,-6,92,0,10,2,21,9,62,1
365,183,-2,96,1,71,2,6,180,57,0
104,30,-4,91,2,27,1,-1,65,43,0
211,116,5,90,0,46,1,6,104,64,0
98,64,3,97,2,29,1,0,34,70,0
126,49,-4,85,1,38,5,1,74,40,0
162,148,3,84,1,40,4,8,42,100,0
98,92,-26,85,5,9,4,18,5,64,1
365,176,-10,90,1,97,3,13,180,48,0
208,155,-13,92,3,45,8,24,66,62,1
114,86,0,99,1,26,3,11,28,86,0
168,158,20,99,0,62,0,-10,1,100,0
163,39,1,94,1,24,0,-1,83,30,1
76,49,2,97,0,24,0,9,12,65,0
39,14,-10,82,1,9,4,2,29,16,1
69,24,-16,85,1,29,5,16,60,16,1
73,53,-8,95,1,12,4,14,19,67,0
103,95,9,96,1,30,0,-10,12,100,0
201,79,7,97,1,36,0,-7,169,41,0
87,42,-1,98,1,15,2,8,77,35,1
81,13,-10,93,1,18,5,21,78,2,0
116,70,-15,89,2,23,2,6,33,45,1
163,102,-5,97,1,49,4,10,65,63,0
79,40,12,88,1,20,1,4,35,62,0
85,78,2,94,4,39,2,-3,15,94,0
119,49,1,58,7,43,0,8,86,46,0
60,36,-11,91,2,24,1,14,18,47,1
60,28,-1,84,3,19,3,13,28,46,0
159,100,0,97,1,38,3,16,40,53,0
53,25,-28,70,9,13,8,30,49,12,1
104,42,-7,97,1,40,4,13,46,41,0
133,106,-3,88,1,23,4,13,28,73,1
104,59,-15,84,3,21,3,8,65,39,0
169,71,-3,90,0,44,0,4,105,34,0
166,57,4,95,2,31,1,-7,131,35,0
90,17,-28,87,10,13,7,19,97,0,1
191,99,11,97,1,55,0,-9,92,71,0
91,68,10,91,0,18,0,-4,44,80,0
140,27,-7,99,2,30,2,7,100,16,1
182,69,-12,90,2,38,1,6,86,29,0
103,69,-19,84,7,14,5,17,29,47,1
149,38,-18,93,0,39,5,19,165,6,0
147,17,-11,93,1,29,4,21,130,3,1
176,88,-16,78,1,29,7,14,76,22,1
127,53,-6,99,0,28,0,7,74,33,0
94,54,-5,83,1,34,1,5,54,55,0
51,44,5,96,1,15,1,9,13,96,0
77,28,5,90,0,20,3,-6,48,40,0
153,111,-16,85,2,46,4,14,79,66,0
36,26,-19,93,3,14,5,19,19,53,1
69,39,-11,86,3,23,6,20,30,43,1
165,44,-24,64,5,24,5,22,140,4,1
365,319,-23,64,8,59,8,23,99,73,1
142,120,-12,98,1,20,1,1,22,58,0
365,269,-30,40,20,68,8,30,145,49,1
42,16,4,98,1,20,1,3,26,39,0
41,17,5,93,2,15,3,-2,33,46,0
187,145,4,98,0,41,0,-4,39,82,0
132,83,-40,71,9,16,8,30,87,27,1
100,34,-1,97,1,17,2,7,74,21,0
104,11,-29,86,5,19,7,30,107,0,1
113,19,-16,91,1,17,4,11,118,0,0
95,61,-6,100,0,33,5,6,54,56,1
166,89,-2,99,1,26,1,6,82,60,0
67,41,-1,98,1,21,1,1,40,63,0
102,47,3,95,0,17,2,-4,68,55,0
222,123,1,96,0,44,0,2,117,52,0
61,29,4,93,1,18,2,4,46,58,0
307,51,-6,66,5,86,3,12,180,12,1
61,52,-2,98,3,23,4,0,14,88,0
256,91,-12,94,0,30,2,14,180,34,0
155,120,2,96,1,40,4,-2,67,81,0
82,72,-38,70,10,14,8,28,10,52,1
118,35,-17,98,3,36,6,5,101,14,1
215,54,7,96,0,37,0,1,143,39,0
66,28,12,95,0,22,2,-1,53,57,0
114,81,3,94,2,25,2,-3,8,79,0
231,66,-14,95,1,34,4,19,180,24,1
95,58,4,93,1,20,0,-5,30,88,0
54,23,-8,89,2,14,0,12,32,37,1
346,294,-15,71,3,42,5,29,133,55,1
131,96,-4,94,1,26,2,-5,67,64,0
215,148,0,92,1,39,1,0,53,71,0
55,31,-18,91,1,19,6,30,21,50,1
98,74,-12,96,1,20,5,12,33,67,0
63,15,-1,85,0,26,0,-7,48,26,0
137,16,0,98,0,26,3,1,145,10,0
110,82,-13,93,0,21,5,9,24,60,1
121,72,-14,80,3,33,3,18,49,54,0
165,124,-17,95,1,37,4,20,93,56,0
85,66,20,99,0,30,0,-10,23,100,0
78,34,1,86,1,18,2,-1,53,53,0
129,58,-6,97,0,50,2,1,92,57,0
37,27,2,96,0,20,5,14,7,75,0
129,45,8,95,0,42,0,-4,99,29,0
123,41,-23,85,3,21,8,20,85,7,1
74,11,-34,77,8,22,8,30,66,0,1
84,44,-4,93,1,31,2,0,38,45,0
346,118,1,98,2,83,1,3,180,35,0
226,105,-20,96,3,34,8,16,163,21,0
55,42,-21,61,10,15,4,29,21,50,1
141,63,-13,93,2,20,4,14,119,39,0
35,19,-12,94,3,16,8,13,23,41,1
105,100,-6,81,1,31,1,7,5,98,0
195,153,-35,64,18,35,8,30,46,62,1
72,50,-10,88,2,14,7,9,40,58,1
66,19,-6,96,0,14,1,2,62,14,0
170,102,-14,98,1,26,6,16,128,51,0
60,31,-15,94,2,11,5,13,45,34,1
86,50,-20,85,3,15,4,16,54,37,1
117,50,-19,98,1,19,5,26,97,20,1
77,57,7,98,1,28,3,-9,17,94,1
144,96,-37,85,12,24,8,30,48,43,1
49,26,7,89,0,30,0,2,34,66,0
124,19,-8,96,2,23,3,19,132,9,0
66,54,-18,93,3,25,6,24,19,82,1
85,61,-10,93,2,19,4,12,18,63,0
91,56,-22,88,1,19,0,16,35,33,0
190,26,14,97,0,46,1,-4,163,35,0
96,67,-6,85,0,23,0,-3,18,58,0
85,66,2,93,1,16,1,-1,28,92,0
45,39,-20,96,2,15,8,24,6,72,1
138,88,-14,91,3,31,8,24,86,56,1
